X,Y,OBJECTID,FEATURE_ID,CODE,NAME,ADDRESS,NEIGH_NUM,XCOORD,YCOORD,LONGITUDE,LATITUDE
-122.3555484,47.72323327,1,90001,90,Bitter Lake Neighborhood,N 130th St & Greenwood Ave N,3,1265775.875,267518.406,-122.3555497,47.72323154
-122.3232745,47.70859518,2,90002,90,Northgate Neighborhood,NE Northgate Way & 5th Ave NE,28,1273614.625,262024.4689,-122.3232758,47.70859338
-122.2952263,47.71927951,3,90003,90,Lake City Neighborhood,NE 125th & Lake City Way NE,21,1280592.875,265788.625,-122.2952275,47.71927766
-122.2292086,47.72748196,4,90004,90,Finn Hill Neighborhood,NE 141st St & 84th Ave NE,13,1296894.625,268478.4061,-122.2292098,47.72747998
-122.2902718,47.67578536,5,90005,90,Wedgewood Neighborhood,NE 65th St & 35th Ave NE,39,1281511.875,249903.1411,-122.2902732,47.67578349
-122.3131313,47.66126944,6,90006,90,University District,NE 45th St & University Way NE,37,1275779.5,244716.656,-122.3131328,47.66126761
-122.3258445,47.67949223,7,90007,90,Green Lake Neighborhood,NE Ravenna Blvd & Green Lake Dr N,16,1272776.125,251422.953,-122.325846,47.67949043
-122.3553003,47.6905951,8,90008,90,Greenwood Neighborhood,N 85th & Greenwood Ave N,17,1265601.5,255614.2189,-122.3553017,47.69059336
-122.390055,47.70154292,9,90009,90,North Beach Neighborhood,NW 100th  St & Triton Dr NW,26,1257124.375,259777.9999,-122.3900564,47.70154125
-122.3768044,47.69060905,10,90010,90,Crown Hill Neighborhood,NW 85th St & 15th Ave NW,10,1260306.5,255724.781,-122.3768057,47.69060735
-122.3863682,47.66868057,11,90011,90,Ballard Neighborhood,NW Market & Ballard Ave NW,1,1257790.125,247775.0312,-122.3863697,47.66867888
-122.3497479,47.64958951,12,90012,90,Fremont Neighborhood,N 34th St & Fremont Ave N,14,1266674,240632.6882,-122.3497495,47.64958774
-122.3337183,47.66138742,13,90013,90,Wallingford Neighborhood,N 45th St & Meridian Ave N,38,1270708.125,244857.9061,-122.3337198,47.66138563
-122.3567086,47.62458372,14,90014,90,Queen Anne Neighborhood,W Mercer St & Queen Anne Ave N,29,1264778.125,231547.1089,-122.3567102,47.62458195
-122.3207972,47.61523548,15,90015,90,Capitol Hill Neighborhood,E. Pine & Broadway Ave,5,1273566.25,227964.6101,-122.3207989,47.61523365
-122.3025484,47.61917089,16,90016,90,Central District,E Madison St & 23rd Ave E,7,1278093.75,229313.3909,-122.3025501,47.61916903
-122.3377915,47.60974866,17,90017,90,Central Business District,Pike St & 3rd Ave,6,1269336.375,226045.0631,-122.3377932,47.60974685
-122.3495945,47.57148258,18,90018,90,Harbor Island Neighborhood,SW Spokane St & 1th Ave SW,18,1266150.5,212146.7809,-122.3495964,47.57148077
-122.3867771,47.56110726,19,90019,90,West Seattle Neighborhood,SW Alaska St & California Ave SW,40,1256897.375,208546.0469,-122.3867791,47.5611055
-122.3046443,47.55955892,20,90020,90,Beacon Hill Neighborhood,S Columbian Way & Beacon Ave S,2,1277161.25,207582.875,-122.3046463,47.55955705
-122.2929986,47.58362374,21,90021,90,Mount Baker Neighborhood,S Walker St & 31st Ave S,24,1280202.625,216304.5468,-122.2930005,47.58362186
-122.2636684,47.68212824,22,90022,90,Sand Point Neighborhood,Sand Point Way NE & NE 74th St,46,1288107.627,252093.47,-122.2636698,47.68212632
-122.2657999,47.55121558,23,90023,90,Seward Park Neighborhood,S Orcas St & Wilson Ave S,33,1286693.875,204359.1091,-122.2658019,47.55121365
-122.2231311,47.49951984,24,90024,90,Bryn Mawr Neighborhood,S 115th Pl & 87th Ave S,4,1296888.5,185312.1879,-122.2231333,47.49951782
-122.2383068,47.48993577,25,90025,90,Skyway Neighborhood,Renton Ave S & 76th Ave S,34,1293074,181884.953,-122.238309,47.4899338
-122.3229131,47.52646753,26,90026,90,South Park Neighborhood,S Cloverdale St & 8th Ave S,35,1272417.75,195601.3281,-122.3229153,47.52646567
-122.354018,47.51735369,27,90027,90,White Center Neighborhood,SW Roxbury St & 15th Ave SW,41,1264668.625,192427.859,-122.3540202,47.51735186
-122.1407755,47.57608747,28,90028,90,Eastgate Neighborhood,SE 38th St & 148th Ave SE,11,1317717.5,212880.6091,-122.1407773,47.57608529
-122.2760643,47.54616284,29,90029,90,Rainier Valley Neighborhood,S Graham St & Rainier Ave S,31,1284125,202563.719,-122.2760663,47.54616093
-122.3122325,47.6903475,30,90030,90,Maple Leaf Neighborhood,NE 85th St & 15th Ave NE,23,1276204.75,255317.125,-122.3122339,47.69034567
-122.3928369,47.31515896,31,90031,90,Twin Lakes Neighborhood,SW 320th St & 47th Ave SW,36,1253583.625,118881.2191,-122.3928401,47.31515729
-122.4010054,47.63955435,32,90032,90,Magnolia Neighborhood,W Mc Graw St & 34th Ave W,22,1253968,237226.109,-122.401007,47.63955267
-122.2699876,47.52330804,33,90033,90,Rainier Beach Neighborhood,S Henderson St & Rainier Ave S,30,1285469.875,194200.469,-122.2699898,47.52330612
-122.1074584,47.35810464,34,90034,90,"Covington, Timberlane Neighborhood",SR 516 & SE Wax Rd,9,1324623.572,133240.985,-122.1074614,47.35810236
-122.1767805,47.7629396,35,90035,90,North Creek Neighborhood,North Creek Pky & 120th Ave NE,27,1310021.519,281180.5861,-122.1767814,47.76293761
-122.1541587,47.44553261,36,90036,90,Fairwood Neighborhood,SE Petrovitsky Rd & 140th Ave SE,12,1313597.306,165322.1829,-122.1541612,47.44553043
-122.3160922,47.54792823,37,90037,90,Georgetown Neighborhood,S Bailey St & 13th Ave S,15,1274253.457,203395.4421,-122.3160942,47.54792637
-122.178202,47.50230475,38,90038,90,Renton Highlands Neighborhood,Sunset Blvd NE & Kirkland Ave NE,32,1308010.618,186130.5531,-122.1782042,47.50230262
-122.2018742,47.37256395,39,90039,90,Kent East Hill Neighborhood,SE 256th St & 104th Ave SE,19,1301318.703,138916.2161,-122.2018771,47.37256189
-122.1756134,47.73125634,40,90040,90,Kingsgate Neighborhood,NE 144th St & 124th Ave NE,20,1310106.934,269620.3169,-122.1756145,47.73125428
-122.1793028,47.54981151,41,90041,90,Newport Hills Neighborhood,SE 60th St & 119th Ave SE,25,1308041.613,203461.46,-122.1793048,47.5498094
-122.2850418,47.55784863,42,90042,90,Columbia City Neighborhood,S Genesee St & Rainier Ave S,8,1281988.625,206867.2189,-122.2850437,47.55784673
-122.3865457,47.58119533,43,90043,90,Admiral Neighborhood,California Ave SW & SW Admiral Way,42,1257102.376,215870.8279,-122.3865476,47.58119359
-122.4106478,47.57912495,44,90044,90,Alki Neighborhood,Alki Ave SW & 61st Ave SW,43,1251139.625,215236.7658,-122.4106496,47.57912324
-122.3250554,47.59919077,45,90045,90,International District,Maynard Ave S & S Jackson St,44,1272402.75,222133.484,-122.3250571,47.59918894
-122.3872148,47.54487202,46,90046,90,Morgan Junction Neighborhood,California Ave SW & Fauntleroy Way SW,45,1256669.75,202627.3911,-122.3872169,47.54487025
